2012-02-08,redirect,http://web.archive.org/web/20120208015410/http://www.twitter.com/phdcomics
2013-10-30,redirect,http://web.archive.org/web/20131030141730/http://twitter.com/phdcomics
2014-01-17,redirect,http://web.archive.org/web/20140117030236/http://twitter.com/phdcomics
2015-02-19,redirect,http://web.archive.org/web/20150219090136/http://twitter.com/phdcomics
2015-12-04,redirect,http://web.archive.org/web/20151204031444/http://twitter.com/phdcomics
2016-01-31,redirect,http://web.archive.org/web/20160131193725/http://twitter.com/PHDcomics
2016-02-08,redirect,http://web.archive.org/web/20160208151357/http://twitter.com/PHDcomics
2016-03-11,redirect,http://web.archive.org/web/20160311071037/http://twitter.com/phdcomics
2016-03-11,redirect,http://web.archive.org/web/20160311173845/http://twitter.com/phdcomics
2016-11-26,redirect,http://web.archive.org/web/20161126041605/http://twitter.com/phdcomics
