date--01,count
2008-09-01,100
2008-10-01,145
2012-01-01,149315
2012-02-01,526450
2012-03-01,652299
2012-05-01,850527
2012-06-01,976020
2012-07-01,1120499
2012-08-01,1233193
2012-09-01,1410941
2012-10-01,1787623
2012-11-01,2013780
2013-01-01,2617329
2013-02-01,2782576
2013-03-01,3060452
2013-04-01,3566073
2013-05-01,3945659
2013-06-01,3945659
2013-07-01,4887508
2013-08-01,5054071
2013-09-01,5259872
2013-10-01,5308671
2013-12-01,5330445
2014-01-01,5344633
2014-02-01,5347335
2014-03-01,5355301
2014-04-01,5367358
2014-05-01,5372916
2014-06-01,5387390
2014-07-01,5391219
2014-08-01,5395097
2014-09-01,5395755
2014-10-01,5394398
2014-12-01,5391440
2015-01-01,5388216
2015-02-01,5391746
2015-03-01,5391021
2015-04-01,5395862
2015-05-01,5396921
2015-06-01,5401319
2015-07-01,5402537
2015-08-01,5402242
2015-09-01,5398576
2015-10-01,5392492
2015-11-01,5392400
2015-12-01,5392181
2016-01-01,5393328
2016-02-01,5395178
2016-03-01,5395709
2016-04-01,5411330
2016-05-01,5412838
2016-06-01,5414219
2016-07-01,5420017
2016-08-01,5493542
2016-09-01,5502352
2016-10-01,5513043
2016-11-01,5559411
2016-12-01,5626987
2017-01-01,5638656
2017-02-01,7054259
2017-03-01,7358097
2017-04-01,7570019
2017-05-01,7644412
2017-06-01,7820345
2017-07-01,8025839
